Team_quality,Opponent_quality,Match_location,Match_outcome,Shots_on_target,SFCA,Short_passes,Long_balls,Crosses,Aerial_success,Offsides,Tackles,Fouls,Yellow_cards,Set_piece
1,1,1,0,7,0,438,50,42,63,2,29,14,2,6
0,0,1,0,4,0,331,77,41,29,3,17,8,0,3
0,1,1,1,7,0,579,32,41,86,2,20,14,1,4
1,1,1,0,2,0,532,75,41,54,3,23,13,1,4
0,1,1,1,8,2,516,50,41,54,4,16,15,3,6
1,0,1,1,12,2,560,44,41,62,2,21,8,1,12
0,1,1,0,6,1,441,39,41,49,4,13,23,4,6
1,0,1,1,11,0,588,74,41,50,0,16,12,2,4
0,1,1,0,9,2,454,51,40,75,4,14,10,0,4
1,0,1,0,3,0,555,67,40,50,2,17,20,1,1
1,0,0,0,6,0,580,47,40,60,0,17,13,2,1
0,0,1,0,9,1,345,50,40,40,0,23,15,0,4
0,0,1,0,4,0,552,37,40,80,2,14,12,3,4
0,1,1,0,7,0,395,30,40,52,0,17,16,4,8
1,1,1,0,8,0,446,45,40,46,0,22,14,0,7
0,0,1,0,2,0,389,66,40,53,3,20,15,3,3
1,1,0,0,4,0,659,69,40,68,3,17,10,0,5
0,1,1,0,2,0,477,46,40,48,6,11,10,1,4
1,1,1,0,7,0,677,70,40,52,5,16,8,0,9
1,0,1,1,8,1,533,89,40,45,1,16,8,3,8
0,0,1,0,11,0,523,28,40,46,1,8,15,1,8
1,1,1,1,9,1,511,79,40,59,1,28,19,4,9
1,1,1,0,5,1,675,63,40,53,0,15,15,1,3
1,1,1,1,6,2,287,64,39,24,1,19,16,3,2
0,0,1,1,18,1,523,41,39,67,4,16,7,1,6
1,1,1,0,6,0,503,61,39,48,4,17,12,1,5
1,0,1,1,8,0,523,64,39,62,6,12,9,0,5
1,0,1,1,10,0,443,48,39,57,5,20,10,1,4
0,0,1,0,4,0,459,36,39,35,2,20,8,0,6
0,0,1,1,5,0,350,64,39,54,0,23,9,0,5
1,1,1,1,7,1,859,76,39,35,2,17,19,5,3
1,0,1,1,7,0,600,64,39,48,4,20,8,1,4
0,0,1,0,5,0,585,118,39,62,0,18,12,2,2
0,0,1,0,9,0,583,53,39,53,1,16,15,3,6
0,1,1,0,3,1,486,50,39,60,3,25,20,5,1
1,1,1,1,6,0,468,63,39,57,7,12,12,2,8
1,0,1,0,6,0,569,44,39,42,3,7,20,0,8
0,1,0,0,2,0,305,56,38,50,1,23,20,1,3
1,1,1,0,5,0,352,82,38,54,4,27,14,1,7
1,1,1,1,12,0,443,82,38,52,2,21,17,2,5
0,1,0,0,5,0,582,73,38,18,1,25,11,1,2
1,1,1,0,8,4,465,68,38,49,2,22,14,3,6
1,1,0,0,5,0,516,71,38,72,0,19,10,2,7
0,1,0,0,5,0,569,83,38,51,2,19,16,1,5
0,0,1,1,7,1,490,62,38,64,1,19,6,2,7
0,0,1,0,4,0,472,38,38,43,5,21,16,3,7
1,0,1,1,6,0,612,67,38,50,4,22,12,1,3
1,1,1,1,12,0,494,38,38,59,3,13,16,1,11
1,0,0,0,4,0,707,73,38,45,2,14,6,0,5
0,0,1,1,9,0,479,36,38,56,0,19,9,1,12
1,0,1,1,11,0,642,41,38,56,3,18,12,0,7
1,0,1,0,5,0,620,43,38,44,4,31,11,2,1
1,1,1,0,6,0,507,73,37,31,0,13,10,0,4
0,1,1,0,8,1,543,59,37,67,1,22,12,2,5
1,0,1,0,5,0,542,78,37,43,4,18,8,1,7
1,0,1,1,10,0,434,64,37,59,3,15,17,3,3
1,1,0,1,5,0,811,56,37,42,3,8,16,2,8
0,0,1,1,12,1,305,60,37,77,4,15,10,0,7
1,1,1,0,5,0,428,84,37,50,0,25,11,2,8
1,0,1,1,9,0,715,68,37,55,1,19,13,0,7
1,1,0,0,3,0,473,76,37,44,0,14,10,1,2
1,1,0,0,10,0,515,64,37,52,0,14,10,0,4
1,0,0,0,3,1,524,49,37,54,1,25,14,2,6
1,0,0,0,6,0,556,48,37,38,3,13,8,3,1
1,1,0,0,6,0,604,40,37,79,4,15,13,1,9
1,0,1,1,7,1,630,38,37,53,1,14,14,2,2
1,1,1,0,4,0,579,38,37,70,1,15,10,2,4
1,0,1,1,3,0,429,60,36,43,2,21,14,1,3
0,1,1,0,6,0,377,44,36,30,1,29,18,3,5
0,1,1,0,5,0,345,45,36,30,5,21,12,0,3
0,1,1,0,6,0,323,57,36,31,7,14,16,2,2
1,1,1,0,3,1,273,48,36,37,5,31,20,3,4
1,1,1,0,7,1,398,82,36,44,6,24,12,4,3
0,1,0,0,4,0,357,52,36,73,3,9,21,2,6
0,1,1,0,4,0,432,54,36,28,4,15,21,1,2
1,1,1,1,8,2,459,84,36,70,2,28,23,2,10
1,1,0,1,8,1,646,81,36,78,2,13,11,0,5
1,0,0,1,5,2,568,66,36,43,1,14,16,0,4
0,0,0,0,5,0,323,43,36,70,0,21,10,2,5
0,1,1,1,8,1,459,58,36,58,0,8,9,2,5
0,1,0,0,8,0,507,43,36,45,1,11,17,3,4
0,1,1,0,4,0,371,63,36,44,3,19,13,2,5
1,1,1,1,5,0,493,60,36,55,2,18,10,1,4
1,0,0,1,6,0,552,72,36,55,1,20,7,1,5
1,0,1,1,11,0,624,63,36,57,1,23,7,0,6
1,0,1,0,5,0,458,54,36,39,6,11,18,1,8
1,1,1,0,8,0,564,62,36,37,4,12,12,1,4
1,0,0,0,7,1,517,50,36,61,2,11,9,1,9
1,1,1,1,4,0,470,71,36,53,0,16,12,1,5
0,0,1,0,5,0,793,43,36,50,2,12,13,1,4
1,0,0,0,5,0,410,50,36,41,2,15,12,3,2
1,0,0,1,7,1,417,70,35,47,3,23,13,3,5
0,1,1,0,2,0,466,85,35,50,7,29,7,0,4
1,1,1,0,5,0,524,81,35,71,2,27,11,2,4
1,0,1,1,7,0,441,55,35,55,3,21,13,4,6
0,0,1,0,2,0,573,73,35,54,1,14,12,2,3
1,1,1,0,6,0,491,63,35,39,4,23,9,1,3
0,0,1,1,6,1,489,52,35,67,2,14,17,1,8
1,1,1,0,12,0,418,50,35,57,0,24,19,2,7
0,0,0,0,8,0,435,59,35,56,1,16,15,1,5
0,1,0,0,2,0,391,58,35,56,3,18,4,2,6
1,1,1,1,11,0,594,63,35,38,3,13,14,1,9
1,0,0,0,9,0,648,72,35,48,4,9,8,1,1
1,1,1,0,1,0,539,59,35,45,1,23,10,2,5
1,1,1,0,5,0,387,51,35,30,0,15,11,1,6
1,1,1,0,3,0,618,42,35,53,8,15,5,2,2
1,1,1,1,6,0,469,68,35,70,3,7,10,2,4
1,0,1,1,7,0,701,47,35,68,2,13,14,2,8
0,1,0,0,4,0,489,60,35,35,4,11,17,1,4
1,0,0,0,2,0,484,103,34,32,1,18,11,1,2
1,0,1,1,7,3,483,80,34,68,1,23,6,0,5
0,1,1,0,9,0,414,51,34,40,1,23,13,1,3
1,0,0,1,7,0,561,57,34,45,0,19,14,0,3
1,1,1,0,4,0,347,36,34,26,1,24,18,2,3
0,0,1,0,5,1,338,89,34,56,1,24,18,3,5
1,1,1,1,6,2,382,67,34,68,4,24,20,3,4
1,1,0,0,5,0,476,89,34,61,2,22,15,1,1
1,1,0,0,3,0,455,75,34,36,1,25,19,5,2
0,1,1,0,4,0,372,61,34,36,0,22,12,3,4
0,1,0,0,7,1,453,60,34,61,0,22,20,2,5
1,1,1,0,4,0,616,52,34,53,0,8,13,1,5
1,1,0,1,7,0,726,34,34,63,2,27,11,1,3
1,0,1,1,9,0,509,52,34,68,2,16,8,0,3
1,0,0,0,11,0,604,53,34,58,1,9,15,0,12
0,1,1,0,5,0,431,38,34,29,2,16,9,1,6
1,1,1,0,6,0,422,95,34,42,1,13,9,0,8
0,0,1,0,8,0,736,73,34,52,2,16,8,0,9
0,1,1,0,2,0,268,61,34,46,1,18,6,1,9
1,0,1,0,10,0,595,52,34,48,3,24,10,0,6
1,1,0,0,0,0,577,43,34,51,3,12,8,0,3
1,1,0,0,6,1,718,50,34,56,0,10,7,1,7
1,1,0,1,8,0,503,63,33,60,8,28,9,1,5
1,1,1,0,11,0,554,67,33,50,6,17,16,3,5
1,0,0,0,3,0,424,55,33,75,1,27,14,2,2
1,0,1,0,7,0,364,36,33,75,3,19,18,1,2
1,0,0,1,6,0,505,72,33,50,5,35,20,4,2
1,1,1,0,1,0,433,56,33,59,0,19,16,1,2
1,0,1,0,4,0,409,62,33,59,4,20,12,1,2
1,0,1,1,11,1,476,64,33,60,2,21,10,1,3
1,1,1,0,3,0,463,42,33,60,2,18,17,3,3
0,0,1,1,6,0,596,43,33,33,9,23,8,0,3
1,0,0,0,9,1,315,43,33,54,0,18,17,2,6
0,1,0,0,6,0,402,72,33,70,1,25,14,2,6
1,0,0,0,8,0,555,53,33,54,0,14,5,1,5
1,0,0,1,13,1,698,72,33,63,1,25,19,3,5
1,1,0,0,4,0,350,53,33,37,0,17,16,1,3
1,1,1,0,8,0,375,56,33,47,0,12,9,3,5
1,0,1,0,4,0,472,71,33,72,3,21,15,2,3
1,0,1,1,18,1,722,56,33,69,4,18,6,0,6
0,1,1,0,7,0,422,56,33,50,4,16,9,1,2
0,0,1,0,4,0,409,47,33,58,2,18,14,2,5
0,0,0,0,7,0,521,48,33,70,5,14,9,3,4
1,1,1,0,1,0,453,73,33,47,2,28,14,2,2
1,0,0,0,3,0,462,64,33,54,2,28,10,0,9
1,0,1,0,2,0,562,65,33,43,5,11,5,1,0
1,1,0,1,4,0,677,52,33,42,1,17,13,1,3
1,1,1,1,11,4,556,70,33,41,3,20,7,1,6
1,0,1,1,11,1,675,67,33,36,2,22,10,2,10
1,0,1,1,7,0,662,69,33,59,1,13,14,0,11
0,1,1,0,3,0,574,56,33,41,1,15,15,1,7
1,1,1,1,7,0,441,53,33,30,1,18,14,1,5
0,1,1,0,7,1,343,91,33,46,5,14,7,3,8
1,1,0,1,2,0,416,72,33,45,0,25,20,5,2
0,1,0,0,4,0,489,87,32,79,3,22,15,0,2
1,1,1,0,5,0,522,94,32,45,2,19,16,2,1
0,0,0,1,6,0,645,85,32,56,2,20,17,0,4
1,0,1,0,5,0,571,52,32,73,4,21,13,1,5
0,1,1,0,6,0,419,33,32,39,3,19,10,1,3
1,0,0,0,4,0,698,78,32,63,1,16,15,2,3
1,1,1,1,5,2,310,73,32,47,2,20,10,3,0
1,0,0,0,3,2,394,60,32,55,7,20,16,2,5
0,0,1,0,4,0,392,58,32,72,1,34,13,3,1
0,1,1,0,3,0,337,66,32,47,1,15,12,0,2
1,1,1,1,10,0,552,48,32,63,2,16,10,2,6
1,1,1,0,7,0,392,58,32,75,2,16,15,4,3
1,1,0,1,5,0,481,56,32,69,4,22,13,3,2
1,0,0,0,10,2,509,73,32,65,7,20,10,1,7
0,1,1,0,6,0,456,52,32,44,2,19,17,2,7
0,1,1,0,7,1,535,74,32,58,9,31,13,2,3
1,1,1,0,8,0,579,67,32,58,5,19,13,3,8
0,1,1,0,4,0,401,56,32,36,6,22,13,2,4
1,0,1,1,7,1,544,58,32,63,7,13,10,0,4
1,1,0,0,8,0,902,57,32,64,1,12,8,2,2
0,1,0,0,4,0,495,59,32,69,8,13,10,3,1
1,1,1,1,5,0,486,68,32,38,5,36,13,0,4
1,0,0,1,3,0,582,62,32,50,5,23,15,1,1
1,0,0,0,2,0,415,69,32,62,1,19,16,1,0
1,1,0,0,3,0,583,72,32,26,0,24,9,3,2
1,1,1,0,6,0,605,65,32,33,4,18,14,2,0
1,0,1,1,10,1,798,54,32,57,10,13,9,2,4
1,0,1,1,9,0,712,57,32,48,2,25,5,1,6
0,0,1,1,14,0,473,57,32,38,7,14,14,4,6
0,0,1,1,5,0,578,92,32,68,12,12,13,0,3
1,0,0,1,13,0,718,51,32,62,5,14,12,0,4
1,0,1,0,8,0,535,35,32,60,2,21,11,1,4
0,0,1,1,11,0,643,50,32,79,4,16,7,0,7
1,1,0,0,2,1,595,82,32,59,2,21,22,5,4
0,1,0,0,7,0,528,53,32,50,4,12,16,3,4
1,1,0,0,9,0,591,80,32,24,3,13,6,1,6
0,0,1,0,6,0,585,52,32,49,0,10,16,1,4
1,0,1,1,11,0,737,53,32,55,1,17,10,0,5
1,0,1,1,6,2,787,36,32,59,4,21,9,2,3
1,0,1,1,10,0,471,81,32,63,6,17,14,2,9
1,0,0,0,8,0,502,49,32,60,3,8,15,1,4
0,1,1,0,6,0,399,51,32,42,1,13,18,4,5
0,1,1,0,5,1,340,53,31,35,2,30,16,1,3
1,0,1,0,4,0,405,70,31,86,11,22,14,3,4
1,0,1,0,2,0,425,76,31,62,1,16,10,0,5
1,0,1,0,10,0,670,80,31,83,1,22,11,2,7
0,0,1,1,9,0,375,58,31,63,2,26,17,3,6
1,0,1,1,5,0,516,68,31,62,0,31,13,0,3
0,0,1,0,6,0,256,64,31,60,2,26,13,1,8
1,1,0,0,4,0,380,45,31,42,0,35,11,1,5
0,0,1,1,3,0,489,71,31,62,4,19,17,1,2
0,1,0,0,4,1,320,47,31,40,6,18,8,1,0
0,1,1,0,9,0,373,63,31,62,0,15,25,8,6
1,0,0,1,5,1,352,57,31,44,3,23,17,1,5
0,1,1,1,9,0,395,66,31,37,2,25,16,1,4
0,1,0,0,8,1,358,50,31,40,6,28,17,3,2
0,1,1,0,1,0,379,73,31,46,1,17,12,4,1
1,1,1,0,5,0,617,71,31,29,3,17,8,2,4
0,1,1,0,7,0,514,50,31,58,0,26,10,3,8
1,1,1,1,8,0,658,27,31,44,2,23,16,3,4
1,0,1,1,11,0,564,54,31,50,2,19,10,1,12
1,0,0,1,10,0,727,62,31,52,1,14,8,1,5
0,0,0,0,5,0,566,42,31,67,1,21,14,1,6
1,0,1,0,4,1,426,59,31,52,4,16,16,1,11
1,0,1,1,6,2,632,51,31,42,5,14,10,0,3
0,0,1,1,9,0,498,53,31,60,6,9,15,4,4
1,1,1,1,11,0,638,63,31,72,2,19,9,1,3
1,1,0,0,0,0,660,69,31,44,1,18,13,2,2
0,1,1,0,2,1,282,73,30,58,4,13,16,1,1
1,0,0,1,6,1,349,43,30,75,0,26,19,1,8
1,1,1,1,10,0,442,96,30,50,1,24,8,2,4
1,1,0,0,3,0,433,69,30,56,1,24,14,2,2
0,1,0,0,6,1,325,61,30,7,3,27,25,3,7
1,1,1,0,2,0,408,55,30,58,0,20,9,0,1
1,1,0,0,5,0,470,65,30,70,4,25,12,3,6
0,1,1,0,6,1,462,51,30,47,6,41,13,2,4
1,0,1,1,4,0,437,73,30,27,7,23,16,0,4
0,1,0,0,8,1,643,63,30,50,2,14,11,4,3
0,1,1,0,8,0,466,58,30,68,0,21,16,3,4
1,1,1,1,14,0,496,77,30,30,1,29,12,1,3
1,1,1,1,7,1,539,79,30,74,2,27,17,0,5
1,1,1,0,6,0,369,63,30,50,2,28,12,3,6
1,0,1,0,3,0,497,76,30,50,1,18,13,2,4
1,0,1,1,7,0,583,74,30,83,0,9,12,1,4
1,1,0,0,7,0,421,60,30,63,0,30,15,0,4
0,0,1,0,3,0,313,58,30,67,7,28,18,3,2
1,0,0,0,6,0,511,59,30,52,3,23,12,1,3
1,0,1,1,11,0,303,41,30,39,3,24,11,1,10
0,1,1,0,2,0,516,72,30,44,0,21,9,0,4
0,0,0,0,5,1,460,62,30,47,3,15,19,2,0
0,1,1,0,6,0,501,62,30,48,0,19,16,1,2
0,1,0,0,1,1,314,51,30,48,0,13,16,3,3
1,1,1,1,10,1,530,67,30,52,3,19,7,1,8
0,1,1,0,3,1,348,71,30,51,1,25,12,3,2
0,0,0,0,1,0,356,46,30,59,3,23,18,2,1
1,1,1,1,13,2,621,39,30,52,2,11,15,2,3
0,1,0,0,5,1,521,64,30,46,0,15,10,1,2
0,0,1,0,4,0,526,61,30,50,0,17,13,3,7
1,0,1,0,2,0,459,65,30,65,1,16,11,1,7
0,1,1,0,7,0,520,69,30,59,2,11,13,1,3
1,1,0,0,5,1,626,52,30,50,0,14,18,3,4
1,1,1,0,4,0,552,58,30,58,2,11,9,2,6
1,0,0,0,6,0,536,61,30,43,3,14,11,2,2
1,0,0,0,7,0,558,37,30,52,3,18,10,2,3
1,1,1,0,6,0,561,66,30,54,4,11,8,3,6
1,0,1,1,6,0,573,27,30,50,6,22,13,3,5
1,1,1,0,4,0,489,63,30,48,1,17,12,3,5
1,0,1,0,6,0,570,32,30,64,4,13,9,2,5
1,0,1,1,6,0,496,43,30,57,1,24,18,3,5
1,0,1,0,6,1,578,75,30,43,0,19,10,1,3
1,1,0,1,5,0,429,53,30,41,3,23,21,2,1
0,0,1,1,8,1,315,68,29,54,1,23,16,2,6
1,0,1,1,6,0,442,75,29,37,1,12,16,1,3
1,0,1,1,1,0,274,55,29,45,1,26,11,0,1
0,0,1,0,7,1,420,76,29,35,3,31,13,1,4
0,1,0,0,2,0,322,55,29,44,0,15,13,1,3
1,1,1,0,10,1,391,73,29,53,2,29,23,3,4
1,1,1,0,5,0,252,77,29,50,3,28,19,1,1
1,0,1,1,6,0,599,62,29,17,5,21,17,2,5
1,0,1,0,7,2,562,63,29,86,3,16,12,0,3
0,1,1,0,6,0,359,77,29,63,7,20,13,3,0
1,1,0,0,6,0,448,53,29,54,1,13,18,1,3
1,1,0,0,6,0,601,41,29,83,2,14,21,5,2
0,0,0,0,6,0,482,90,29,33,0,21,14,3,3
1,0,1,1,4,0,597,50,29,57,3,30,10,0,2
0,1,1,0,4,0,546,44,29,58,2,21,7,0,9
1,0,1,0,4,0,416,57,29,52,2,17,13,1,5
1,1,0,0,5,1,402,56,29,75,4,17,18,2,4
1,0,1,1,7,0,397,49,29,44,0,22,9,0,5
0,0,0,0,0,0,383,44,29,14,0,32,12,4,2
0,0,1,0,4,0,446,65,29,55,5,14,13,2,4
0,1,1,0,7,1,312,62,29,53,2,13,18,3,9
0,1,0,0,7,0,266,38,29,60,3,23,23,4,4
1,0,1,1,5,1,236,56,29,31,1,31,14,2,4
0,1,1,0,4,2,412,50,29,55,3,20,18,3,4
0,0,1,1,4,0,216,45,29,48,1,19,15,1,3
0,1,0,0,7,1,369,69,29,61,3,22,8,2,2
1,1,0,0,3,0,701,72,29,55,0,16,10,2,1
0,0,1,0,3,0,467,39,29,55,4,29,14,2,4
1,1,0,1,3,0,632,46,29,50,0,25,9,0,3
1,0,1,1,7,0,679,42,29,63,1,20,11,1,4
1,1,1,1,4,0,356,94,29,57,4,33,9,4,8
1,1,0,0,8,0,442,66,29,54,0,19,11,2,5
1,1,0,0,4,0,447,78,29,35,1,14,13,3,4
1,0,1,1,7,1,596,89,29,53,3,20,8,0,2
1,0,1,1,8,1,338,58,29,56,2,7,15,3,5
0,0,1,0,7,1,489,51,29,52,1,20,9,1,4
1,1,1,1,7,1,522,59,29,60,5,13,10,1,9
1,1,1,0,4,0,461,60,29,49,1,13,16,0,2
1,0,0,0,5,0,738,33,29,86,2,8,10,0,4
0,0,1,0,2,0,554,48,29,68,3,15,12,3,4
1,1,1,0,5,0,533,54,29,48,0,17,8,2,8
0,1,1,1,4,0,382,49,29,46,3,18,11,2,9
1,0,0,1,6,1,568,61,29,48,8,14,11,1,7
1,0,1,0,7,1,658,50,29,54,2,19,7,1,12
1,0,1,0,7,1,642,33,29,64,5,19,13,1,2
0,0,1,1,7,2,571,56,29,34,1,21,8,1,4
1,0,1,1,6,1,604,51,29,54,4,18,13,1,4
0,1,1,0,1,0,563,50,29,55,2,16,14,0,2
1,0,0,1,5,0,548,65,29,41,5,9,15,1,3
0,1,1,0,4,2,393,44,29,50,0,10,11,3,1
1,1,1,1,11,1,506,47,28,53,2,22,13,2,4
1,0,1,1,8,0,312,62,28,67,7,24,10,0,6
0,1,0,0,3,1,301,62,28,27,2,22,15,4,6
0,0,1,0,8,0,288,72,28,32,1,25,10,1,2
1,1,0,0,5,0,395,74,28,69,4,21,16,3,3
1,1,1,1,12,1,354,60,28,45,2,25,17,2,4
1,1,1,1,10,1,443,67,28,53,0,22,17,2,2
1,0,1,1,3,0,372,73,28,50,5,36,12,2,4
1,0,0,1,12,0,540,56,28,65,2,25,5,0,4
0,0,1,1,5,1,321,57,28,67,4,15,9,0,5
1,0,0,0,3,0,367,78,28,65,0,14,16,2,0
1,0,1,1,8,0,474,75,28,76,1,16,13,0,6
1,1,1,1,6,0,443,77,28,53,3,25,13,2,0
0,1,1,0,4,2,580,58,28,64,1,12,12,1,10
0,1,1,0,9,0,541,70,28,62,6,14,5,0,1
1,0,0,1,6,0,592,65,28,68,1,15,14,0,3
1,1,1,0,3,0,336,58,28,57,3,14,18,4,5
1,1,1,1,5,0,498,35,28,44,1,20,15,3,5
0,1,1,0,4,3,486,69,28,36,1,28,13,1,4
1,1,1,1,6,0,325,51,28,63,3,16,24,3,7
0,0,1,1,5,0,239,64,28,62,2,20,19,5,3
0,0,1,1,2,0,404,57,28,47,3,24,10,2,0
1,0,1,1,9,1,517,67,28,50,10,27,13,2,6
1,0,1,1,5,0,640,78,28,48,2,18,10,2,6
1,0,0,1,7,2,427,39,28,64,0,18,11,4,7
0,1,1,1,6,0,384,31,28,35,2,29,15,2,2
0,1,1,0,7,0,352,74,28,44,2,22,14,2,6
0,0,0,0,6,0,590,55,28,55,0,13,18,4,1
1,0,0,1,7,0,350,60,28,63,6,37,13,4,4
1,0,1,0,4,0,498,70,28,60,3,17,13,1,7
1,1,1,1,2,0,242,50,28,42,3,28,21,2,2
1,0,0,0,5,0,280,67,28,38,4,30,16,5,5
1,0,1,1,10,0,817,50,28,72,8,12,5,1,2
0,0,1,1,8,1,739,53,28,43,0,22,9,0,5
1,1,1,0,2,0,256,53,28,46,0,23,19,3,3
0,0,1,0,8,0,403,72,28,62,3,13,10,1,2
0,1,1,1,6,0,354,58,28,50,4,21,12,0,6
1,0,1,0,9,0,371,67,28,72,1,18,12,0,4
1,1,1,1,10,2,556,62,28,64,2,21,6,1,6
0,1,1,0,5,0,411,74,28,65,2,10,14,1,3
1,0,1,1,5,0,368,75,28,51,1,18,16,2,7
1,1,1,1,3,0,575,59,28,58,1,19,10,0,1
0,0,1,0,6,0,729,42,28,51,0,23,7,2,6
1,1,1,0,5,0,465,86,28,49,1,25,14,2,1
1,1,1,1,4,0,472,39,28,58,2,23,18,4,2
1,0,0,0,8,0,799,45,28,46,1,15,7,0,6
1,1,0,0,0,1,672,70,28,64,4,21,10,4,4
1,1,1,0,6,1,409,62,28,56,5,17,13,1,3
0,0,0,0,8,1,729,63,28,61,1,7,14,4,4
0,1,1,0,6,0,460,35,28,52,2,18,14,3,6
0,1,1,0,4,0,340,51,28,46,2,27,12,1,3
1,0,1,1,13,0,667,44,28,72,4,14,12,1,8
1,0,0,0,4,0,592,57,28,54,4,5,9,1,7
0,1,1,0,5,0,428,79,28,53,3,23,14,1,4
1,1,1,0,7,0,709,51,28,50,4,22,4,0,7
1,1,1,0,6,0,559,42,28,64,0,11,25,2,11
1,1,1,0,8,1,414,65,28,58,0,9,12,1,8
0,0,0,0,7,0,509,48,28,38,1,14,7,0,8
1,0,1,1,9,1,452,60,28,46,2,23,12,2,6
1,1,0,0,6,0,407,45,28,53,1,13,22,4,4
1,1,1,0,6,0,384,55,28,53,4,18,11,1,3
1,0,1,1,9,2,591,53,28,49,0,17,10,1,2
1,0,0,0,6,0,318,62,27,50,3,26,17,1,5
1,1,1,1,6,1,511,51,27,50,2,25,16,2,2
1,0,1,1,4,0,301,74,27,21,4,22,9,0,0
0,1,1,0,1,0,413,72,27,33,4,18,7,0,3
1,0,1,1,10,1,422,45,27,70,3,28,13,1,5
1,0,1,1,12,0,517,82,27,100,3,12,10,1,6
1,0,0,0,4,0,247,67,27,55,3,25,10,2,3
1,0,1,1,6,0,474,76,27,57,2,18,5,0,4
1,0,1,1,6,1,299,56,27,47,6,18,24,2,9
1,0,0,1,7,1,332,66,27,50,6,21,14,2,4
1,1,0,0,3,0,305,48,27,55,1,26,25,3,1
1,1,0,0,4,0,459,64,27,35,4,9,13,2,1
1,1,1,1,9,0,380,60,27,55,4,26,9,1,8
1,1,1,1,5,1,536,62,27,61,7,13,9,2,5
1,1,0,0,3,2,360,50,27,63,2,15,9,1,0
0,0,1,0,5,0,361,59,27,50,7,19,18,2,2
0,0,1,0,7,1,385,72,27,35,2,18,17,0,4
0,1,1,0,0,0,481,43,27,59,1,14,18,2,1
0,1,1,0,7,0,460,72,27,53,1,13,11,0,5
1,1,0,0,3,0,358,45,27,83,2,19,15,2,2
1,1,0,0,3,0,311,53,27,33,2,24,18,2,0
0,1,0,0,5,0,469,63,27,39,1,17,9,1,6
0,0,0,1,8,0,425,77,27,36,1,28,13,1,5
1,0,1,1,5,1,454,87,27,31,2,9,21,1,11
1,0,1,0,7,0,432,86,27,58,4,19,13,2,2
0,0,0,1,8,1,268,53,27,12,1,22,12,2,3
0,1,1,1,6,0,213,68,27,48,3,32,12,2,10
0,1,1,0,5,2,298,53,27,25,5,19,18,2,4
